candidate_id,source_type,osm_id,candidate_lat,candidate_lon,candidate_kind,building,has_address,nearest_node,nearest_node_lat,nearest_node_lon,snap_distance_m,direct_station_distance_m,kept,filter_reason
node/325276531,node,325276531,-37.6856825,144.5657612,address_point_or_object,,True,3176,-37.685665130615234,144.56631469726562,48.74446809664877,2009.4969163454273,True,kept
node/1078689753,node,1078689753,-37.686626,144.5629858,address_point_or_object,,True,12245,-37.686798095703125,144.56321716308594,27.940710134513647,1996.747050166919,True,kept
node/2795646013,node,2795646013,-37.6833257,144.5860003,address_point_or_object,,True,16326,-37.683258056640625,144.5857696533203,21.645760997793236,2495.861304305271,True,kept
node/4351781004,node,4351781004,-37.6819317,144.5839792,addressed_building_or_object,yes,True,7001,-37.681758880615234,144.583984375,19.222060882325664,2556.3647311883456,True,kept
node/4527056414,node,4527056414,-37.6872646,144.5921704,addressed_building_or_object,yes,True,1201,-37.68733596801758,144.59214782714844,8.180579762995398,2471.142767335197,True,kept
node/4875093169,node,4875093169,-37.7017311,144.574255,address_point_or_object,,True,16166,-37.70200729370117,144.5742645263672,30.722814601010697,220.05194796200752,False,within_walking_threshold
node/4936338658,node,4936338658,-37.6739167,144.5718302,addressed_building_or_object,yes,True,1698,-37.6739616394043,144.57106018066406,67.95421536183653,3233.268252722664,True,kept
node/4936339385,node,4936339385,-37.6742525,144.5717623,addressed_building_or_object,yes,True,1698,-37.6739616394043,144.57106018066406,69.7462436678656,3196.019644718708,True,kept
node/5129777224,node,5129777224,-37.6884194,144.5756805,addressed_building_or_object,yes,True,7017,-37.68855285644531,144.5757598876953,16.401697683186185,1646.9950272085725,True,kept
node/5544036765,node,5544036765,-37.6822908,144.5836212,addressed_building_or_object,yes,True,16789,-37.68195724487305,144.58358764648438,37.207039696155505,2507.1849155199234,True,kept
node/5631277583,node,5631277583,-37.6885815,144.5750872,addressed_building_or_object,yes,True,1323,-37.68854141235352,144.574951171875,12.772690488963166,1620.6238523969957,True,kept
node/5631279030,node,5631279030,-37.6885938,144.5753533,addressed_building_or_object,yes,True,19852,-37.688629150390625,144.57571411132812,31.99152187432872,1622.9485642195316,True,kept
node/5631279124,node,5631279124,-37.6885657,144.5773324,addressed_building_or_object,yes,True,22682,-37.68874740600586,144.57742309570312,21.723838942459526,1663.4423408580897,True,kept
node/5631279837,node,5631279837,-37.6885434,144.5748339,addressed_building_or_object,yes,True,1323,-37.68854141235352,144.574951171875,10.321559863613233,1621.6308596153735,True,kept
node/5631279941,node,5631279941,-37.6882952,144.5750958,addressed_building_or_object,yes,True,1324,-37.68845748901367,144.57496643066406,21.336302532327394,1652.2178091676124,True,kept
node/5634071163,node,5634071163,-37.6568976,144.5693559,addressed_building_or_object,yes,True,12587,-37.65681457519531,144.56918334960938,17.77526973835182,5132.076746424224,True,kept
node/5750576730,node,5750576730,-37.6616636,144.5730837,addressed_building_or_object,yes,True,2301,-37.66155242919922,144.5729522705078,16.930920962121107,4595.940427100536,True,kept
node/5800339647,node,5800339647,-37.7024022,144.5723145,addressed_building_or_object,yes,True,16665,-37.70266342163086,144.5724334716797,30.87484993365527,65.53439174169549,False,within_walking_threshold
node/5800340253,node,5800340253,-37.7020696,144.5667286,addressed_building_or_object,yes,True,7952,-37.702022552490234,144.56704711914062,28.506732448509908,503.05644983332303,False,within_walking_threshold
node/6279498945,node,6279498945,-37.6935668,144.5990506,addressed_building_or_object,yes,True,1151,-37.69362258911133,144.59913635253906,9.767945213496471,2574.2081016511097,True,kept
node/6279499026,node,6279499026,-37.6932522,144.5993404,addressed_building_or_object,yes,True,1149,-37.69340133666992,144.59927368164062,17.591659439134215,2611.8318694646796,True,kept
node/6339186769,node,6339186769,-37.6882601,144.5996318,addressed_building_or_object,yes,True,17030,-37.68852615356445,144.6013641357422,155.27925286354863,2907.7500345064445,True,kept
node/6384460287,node,6384460287,-37.6794621,144.5905841,address_point_or_object,,True,825,-37.678653717041016,144.58984375,111.01801762546998,3070.192780802818,True,kept
node/6755978621,node,6755978621,-37.6829842,144.5817258,address_point_or_object,,True,16598,-37.68312072753906,144.58135986328125,35.601567105684566,2373.4569401614476,True,kept
node/8759178722,node,8759178722,-37.6857803,144.5640929,address_point_or_object,,True,3220,-37.685298919677734,144.56410217285156,53.533342783877316,2046.3316042901097,True,kept
node/8759178726,node,8759178726,-37.6863638,144.5625889,address_point_or_object,,True,20803,-37.68593215942383,144.56201171875,69.88038740094727,2037.7891644266158,True,kept
node/8759178730,node,8759178730,-37.6864557,144.5606637,address_point_or_object,,True,12214,-37.68638229370117,144.56005859375,53.86908783147141,2105.6733368735295,True,kept
node/8892284913,node,8892284913,-37.7140271,144.6022542,address_point_or_object,,True,20559,-37.714019775390625,144.601806640625,39.37732122566743,2904.658972017295,True,kept
node/10141763425,node,10141763425,-37.6832029,144.5985915,addressed_building_or_object,yes,True,11845,-37.68279266357422,144.59840393066406,48.51080067693016,3190.9954739893124,True,kept
node/10660331594,node,10660331594,-37.6534993,144.5663274,addressed_building_or_object,yes,True,15212,-37.65367889404297,144.56671142578125,39.26533715250561,5528.555588958104,True,kept
node/10660341371,node,10660341371,-37.6536686,144.565821,addressed_building_or_object,yes,True,15520,-37.65363693237305,144.56578063964844,5.002416467356706,5514.265466673515,True,kept
node/10660353606,node,10660353606,-37.653668,144.5656197,addressed_building_or_object,yes,True,15214,-37.6535530090332,144.5656280517578,12.807551561235183,5516.1993189138975,True,kept
node/10720260047,node,10720260047,-37.7361514,144.6074869,addressed_building_or_object,yes,True,16087,-37.736297607421875,144.60781860351562,33.39374300080881,4812.450396415377,True,kept
node/10720281118,node,10720281118,-37.735977,144.6055566,addressed_building_or_object,yes,True,22157,-37.7359504699707,144.6053924560547,14.73277046876887,4689.963140718852,True,kept
node/11092562879,node,11092562879,-37.6880584,144.6063166,address_point_or_object,,True,20288,-37.68794250488281,144.60662841796875,30.313870035625328,3420.676297470536,True,kept
node/11198939293,node,11198939293,-37.7311253,144.5731759,addressed_building_or_object,yes,True,11975,-37.73104095458984,144.5732879638672,13.604704269790464,3129.233461172107,True,kept
node/11198972021,node,11198972021,-37.7319524,144.5734498,addressed_building_or_object,yes,True,11976,-37.73210525512695,144.5732421875,24.944729962545434,3221.8261651918883,True,kept
node/11198972453,node,11198972453,-37.7313732,144.5733888,addressed_building_or_object,yes,True,11975,-37.73104095458984,144.5732879638672,37.993444862693806,3157.289564713666,True,kept
node/11198972454,node,11198972454,-37.7313603,144.5731593,addressed_building_or_object,yes,True,11975,-37.73104095458984,144.5732879638672,37.26883368783574,3155.32268852353,True,kept
node/11198972455,node,11198972455,-37.7311323,144.5734143,addressed_building_or_object,yes,True,11975,-37.73104095458984,144.5732879638672,15.053542364090006,3130.5822458128414,True,kept
node/11199001405,node,11199001405,-37.7318959,144.5731015,addressed_building_or_object,yes,True,11976,-37.73210525512695,144.5732421875,26.36284036317545,3214.751216294747,True,kept
node/11280548249,node,11280548249,-37.6851662,144.5667017,address_point_or_object,,True,3154,-37.68508529663086,144.56674194335938,9.667990293495436,2042.9408773131,True,kept
node/11290300056,node,11290300056,-37.6705188,144.5765006,addressed_building_or_object,yes,True,9456,-37.67041015625,144.57679748535156,28.787866145739248,3629.435082258889,True,kept
node/11290301920,node,11290301920,-37.6702787,144.5762,addressed_building_or_object,yes,True,9457,-37.67042541503906,144.5760955810547,18.72460960470024,3653.4344231947994,True,kept
node/11290303396,node,11290303396,-37.6708319,144.5786854,addressed_building_or_object,yes,True,9449,-37.67070770263672,144.57884216308594,19.52153327389388,3619.4992696074587,True,kept
node/11290304256,node,11290304256,-37.6725352,144.5739097,addressed_building_or_object,yes,True,6787,-37.67234802246094,144.57371520996094,26.948158790904188,3389.452773879284,True,kept
node/11290308319,node,11290308319,-37.670342,144.5786063,addressed_building_or_object,yes,True,9452,-37.67049407958984,144.57855224609375,17.567001559305663,3672.2749935523716,True,kept
node/11290320777,node,11290320777,-37.672261,144.5741655,addressed_building_or_object,yes,True,9554,-37.67231369018555,144.57444763183594,25.51311676550862,3420.9077114488614,True,kept
node/11290320778,node,11290320778,-37.6725648,144.5741276,addressed_building_or_object,yes,True,6786,-37.67240524291992,144.57443237304688,32.16054340381547,3387.007139187724,True,kept
node/12016413343,node,12016413343,-37.6561341,144.6002788,addressed_building_or_object,yes,True,1341,-37.6566047668457,144.60043334960938,54.075355382684585,5761.814174681577,True,kept
