node_id,lat,lon
0,-37.684410095214844,144.60494995117188
1,-37.68461608886719,144.60552978515625
2,-37.68476104736328,144.60586547851562
3,-37.69098663330078,144.57057189941406
4,-37.69099426269531,144.57034301757812
5,-37.691017150878906,144.57005310058594
6,-37.691043853759766,144.56985473632812
7,-37.691078186035156,144.5696258544922
8,-37.69112014770508,144.56942749023438
9,-37.6911735534668,144.56919860839844
10,-37.69122314453125,144.56903076171875
11,-37.6912841796875,144.56883239746094
12,-37.69136047363281,144.56861877441406
13,-37.69139862060547,144.5685272216797
14,-37.69144821166992,144.5684051513672
15,-37.6915283203125,144.5682373046875
16,-37.69163513183594,144.5680389404297
17,-37.69174575805664,144.5678253173828
18,-37.69186019897461,144.567626953125
19,-37.68940353393555,144.56106567382812
20,-37.689414978027344,144.56138610839844
21,-37.689422607421875,144.5616455078125
22,-37.6894416809082,144.56201171875
23,-37.68946838378906,144.56259155273438
24,-37.689483642578125,144.5629425048828
25,-37.68948745727539,144.56317138671875
26,-37.68948745727539,144.56341552734375
27,-37.689476013183594,144.5636749267578
28,-37.6894645690918,144.56385803222656
29,-37.69014358520508,144.5699462890625
30,-37.690242767333984,144.57020568847656
31,-37.690338134765625,144.570556640625
32,-37.69041061401367,144.5708770751953
33,-37.69047164916992,144.5711669921875
34,-37.6905403137207,144.5715789794922
35,-37.69060134887695,144.57196044921875
36,-37.69065475463867,144.57223510742188
37,-37.690765380859375,144.5727081298828
38,-37.68500900268555,144.55905151367188
39,-37.68505096435547,144.55905151367188
40,-37.68517303466797,144.55905151367188
41,-37.68521499633789,144.55905151367188
42,-37.685489654541016,144.55906677246094
43,-37.68096923828125,144.55039978027344
44,-37.680992126464844,144.5505828857422
45,-37.681060791015625,144.55116271972656
46,-37.681148529052734,144.5518798828125
47,-37.68115234375,144.55223083496094
48,-37.6811408996582,144.55235290527344
49,-37.681053161621094,144.5528564453125
50,-37.68084716796875,144.55337524414062
51,-37.68070602416992,144.5535888671875
52,-37.68049621582031,144.55386352539062
53,-37.68022155761719,144.5541229248047
54,-37.67988586425781,144.55441284179688
55,-37.679569244384766,144.5546875
56,-37.679405212402344,144.5547637939453
57,-37.67928695678711,144.55477905273438
58,-37.67916488647461,144.5547637939453
59,-37.678993225097656,144.55474853515625
60,-37.678829193115234,144.55465698242188
61,-37.67868423461914,144.5545196533203
62,-37.678497314453125,144.5542449951172
63,-37.678367614746094,144.5540008544922
64,-37.67807388305664,144.55352783203125
65,-37.67798614501953,144.55335998535156
66,-37.67788314819336,144.55313110351562
67,-37.677791595458984,144.55279541015625
