node_id,lat,lon
0,-37.68441009521485,144.60494995117188
15,-37.6915283203125,144.5682373046875
16,-37.69163513183594,144.5680389404297
44,-37.68099212646485,144.5505828857422
45,-37.681060791015625,144.55116271972656
46,-37.681148529052734,144.5518798828125
47,-37.68115234375,144.55223083496094
48,-37.6811408996582,144.55235290527344
49,-37.681053161621094,144.5528564453125
50,-37.68084716796875,144.55337524414062
52,-37.68049621582031,144.55386352539062
53,-37.68022155761719,144.5541229248047
54,-37.67988586425781,144.55441284179688
55,-37.679569244384766,144.5546875
56,-37.679405212402344,144.5547637939453
57,-37.67928695678711,144.55477905273438
58,-37.67916488647461,144.5547637939453
59,-37.678993225097656,144.55474853515625
60,-37.678829193115234,144.55465698242188
61,-37.67868423461914,144.5545196533203
62,-37.678497314453125,144.5542449951172
63,-37.678367614746094,144.5540008544922
64,-37.67807388305664,144.55352783203125
65,-37.67798614501953,144.55335998535156
66,-37.67788314819336,144.55313110351562
67,-37.677791595458984,144.55279541015625
68,-37.67765045166016,144.5518035888672
69,-37.677589416503906,144.55123901367188
71,-37.68089294433594,144.55340576171875
72,-37.681243896484375,144.55368041992188
73,-37.677947998046875,144.5533905029297
74,-37.67731475830078,144.55393981933594
75,-37.67667770385742,144.5544891357422
76,-37.67662048339844,144.55455017089844
77,-37.674774169921875,144.55409240722656
84,-37.67610168457031,144.55389404296875
85,-37.67632293701172,144.5540771484375
86,-37.67646026611328,144.55429077148438
87,-37.67702865600586,144.55531311035156
88,-37.67710876464844,144.55548095703125
89,-37.677154541015625,144.5556640625
90,-37.67717361450195,144.5557861328125
91,-37.67717742919922,144.555908203125
92,-37.67717742919922,144.5560760498047
93,-37.677154541015625,144.55625915527344
95,-37.67702102661133,144.55686950683594
97,-37.67813491821289,144.56134033203125
98,-37.67820358276367,144.56126403808594
99,-37.678680419921875,144.56068420410156
100,-37.678955078125,144.56045532226562
101,-37.67917251586914,144.56036376953125
102,-37.67933654785156,144.5603485107422
103,-37.67952728271485,144.5603485107422
104,-37.6799201965332,144.5604705810547
105,-37.680606842041016,144.56080627441406
106,-37.680755615234375,144.5609130859375
107,-37.681026458740234,144.5612030029297
108,-37.68112564086914,144.56134033203125
109,-37.68119812011719,144.56149291992188
110,-37.68133544921875,144.56202697753906
111,-37.681400299072266,144.56239318847656
